"","subCatPred_train"
21,21
21,21
11,2
9,21
14,20
20,20
21,21
21,21
21,21
21,21
21,21
2,2
21,21
21,21
21,21
21,21
21,21
2,2
11,2
21,21
21,21
2,2
20,20
20,20
21,21
20,20
20,20
14,20
2,2
21,21
21,21
21,21
21,21
7,21
21,21
21,21
19,19
19,19
21,21
21,21
21,21
21,21
21,21
21,21
21,21
2,2
21,21
2,2
2,2
14,20
20,20
21,21
21,21
2,2
21,21
4,8
9,21
2,2
21,21
21,21
21,21
9,21
21,21
20,20
21,21
20,20
19,19
21,21
2,2
21,21
21,21
21,21
20,20
4,8
20,20
1,19
21,21
21,21
21,21
21,21
21,21
21,21
2,2
11,2
21,21
21,21
21,21
10,21
20,20
21,21
21,21
21,21
21,21
21,21
21,21
2,2
11,2
2,2
21,21
9,21
21,21
21,21
14,20
21,21
21,21
7,21
19,19
21,21
21,21
9,21
2,2
13,19
21,21
2,2
2,2
21,21
21,21
2,2
21,21
21,21
21,21
21,21
21,21
21,21
2,2
2,2
21,21
2,2
13,19
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
6,8
14,20
21,21
21,21
2,2
2,2
21,21
2,2
19,19
21,21
21,21
21,21
2,2
20,20
2,2
20,20
6,8
2,2
2,2
21,21
21,21
21,21
4,8
21,21
21,21
21,21
19,19
21,21
21,21
19,19
21,21
4,8
19,19
21,21
2,2
13,19
21,21
2,2
21,21
21,21
21,21
2,2
21,21
3,8
2,2
21,21
21,21
19,19
7,21
21,21
20,20
14,20
12,2
21,21
19,19
2,2
21,21
21,21
2,2
21,21
2,2
21,21
21,21
2,2
1,21
2,2
2,2
2,2
2,2
21,21
21,21
21,21
21,21
21,21
2,2
21,21
21,21
21,21
21,21
2,2
21,21
21,21
2,2
21,21
11,2
11,2
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
20,20
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
2,2
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
2,2
21,21
21,21
21,21
2,2
20,20
5,2
8,8
11,2
21,21
14,20
2,2
21,21
8,8
21,21
13,19
8,8
8,8
21,21
8,8
17,8
20,20
21,21
13,19
1,21
8,8
8,8
8,8
2,2
8,8
8,8
2,2
13,19
21,21
9,21
21,21
8,8
16,2
8,8
2,2
14,20
20,20
2,2
19,19
4,8
13,19
19,19
21,21
2,2
4,8
21,21
2,2
21,21
21,21
20,20
14,20
8,8
20,20
2,2
8,8
2,2
13,19
8,8
8,8
8,8
11,2
8,8
8,8
8,8
17,8
20,20
21,21
2,2
21,21
21,21
1,21
20,20
11,2
4,8
2,2
21,21
20,20
14,20
8,8
11,2
9,21
14,20
20,20
8,8
10,21
21,21
8,8
2,2
20,20
13,19
19,19
8,8
8,8
3,8
9,21
8,8
8,8
2,2
16,2
8,8
21,21
20,20
20,20
20,20
20,20
11,2
11,2
13,19
2,2
21,21
8,8
4,8
21,21
19,19
2,2
20,20
2,2
2,2
8,8
2,2
2,2
21,21
8,8
20,20
13,19
20,20
20,20
8,8
8,8
20,20
20,20
21,21
9,21
21,21
19,19
8,8
13,19
20,20
20,20
11,2
20,20
8,8
2,2
20,20
20,20
20,20
10,21
20,20
20,20
21,21
20,20
2,2
2,2
21,21
6,8
8,8
21,21
9,21
20,20
20,20
20,20
8,8
20,20
8,8
20,20
8,8
8,8
20,20
8,8
8,8
3,8
2,2
8,8
8,8
21,21
21,21
4,8
19,19
20,20
11,2
8,8
11,2
21,21
20,20
2,2
11,2
8,8
20,20
8,8
2,2
8,8
20,20
21,21
16,2
8,8
21,21
11,2
8,8
21,21
20,20
13,19
8,8
8,8
8,8
20,20
8,8
16,2
8,8
21,21
2,2
12,2
9,21
8,8
6,8
16,2
11,2
1,21
8,8
20,20
20,20
8,8
8,8
14,20
14,20
2,2
6,8
13,19
8,8
11,2
11,2
8,8
8,8
11,2
21,21
13,19
8,8
8,8
21,21
20,20
16,2
8,8
2,2
20,20
20,20
19,19
8,8
8,8
20,20
8,8
16,2
16,2
2,2
16,2
9,21
20,20
11,2
1,19
11,2
21,21
20,20
13,19
10,21
2,2
20,20
8,8
11,2
6,8
1,21
8,8
8,8
21,21
21,21
2,2
21,21
20,20
20,20
13,19
20,20
20,20
6,8
8,8
8,8
20,20
20,20
6,8
8,8
2,2
2,2
2,2
9,21
11,2
8,8
20,20
21,21
19,19
21,21
19,19
8,8
8,8
20,20
11,2
20,20
20,20
20,20
2,2
8,8
8,8
11,2
4,8
8,8
3,8
3,8
2,2
3,8
2,2
11,2
9,21
8,8
8,8
8,8
20,20
21,21
21,21
21,21
2,2
8,8
11,2
21,21
6,8
21,21
20,20
20,20
2,2
19,19
20,20
21,21
19,19
8,8
2,2
8,8
20,20
11,2
2,2
2,2
8,8
20,20
6,8
20,20
8,8
2,2
20,20
8,8
20,20
20,20
1,21
8,8
12,2
6,8
20,20
4,8
8,8
20,20
12,2
8,8
3,8
2,2
20,20
2,2
9,21
3,8
2,2
3,8
21,21
4,8
8,8
21,21
2,2
20,20
8,8
5,2
1,21
2,2
2,2
8,8
8,8
6,8
8,8
17,8
21,21
2,2
20,20
8,8
4,8
11,2
4,8
2,2
6,8
20,20
20,20
21,21
20,20
20,20
20,20
17,8
8,8
8,8
21,21
20,20
20,20
8,8
2,2
11,2
8,8
16,2
2,2
8,8
20,20
20,20
8,8
2,2
13,19
8,8
21,21
13,19
2,2
4,8
11,2
1,21
2,2
8,8
4,8
8,8
20,20
8,8
13,19
20,20
8,8
21,21
8,8
20,20
2,2
20,20
20,20
2,2
4,8
6,8
21,21
8,8
20,20
8,8
11,2
19,19
19,19
20,20
8,8
8,8
6,8
8,8
8,8
8,8
8,8
20,20
21,21
8,8
2,2
21,21
20,20
21,21
9,21
11,2
9,21
2,2
21,21
8,8
19,19
21,21
3,8
8,8
2,2
3,8
20,20
20,20
21,21
11,2
20,20
20,20
2,2
21,21
21,21
9,21
8,8
8,8
21,21
8,8
3,8
20,20
21,21
9,21
21,21
20,20
11,2
21,21
20,20
21,21
20,20
10,21
21,21
20,20
20,20
2,2
2,2
1,21
11,2
21,21
20,20
1,21
2,2
19,19
4,8
21,21
10,21
20,20
16,2
4,8
6,8
20,20
21,21
1,21
21,21
14,20
8,8
20,20
8,8
9,21
10,21
2,2
4,8
2,2
20,20
14,20
11,2
20,20
20,20
2,2
3,8
20,20
2,2
21,21
2,2
8,8
2,2
8,8
20,20
2,2
11,2
8,8
19,19
20,20
21,21
19,19
9,21
8,8
20,20
20,20
9,21
13,19
2,2
20,20
20,20
2,2
21,21
2,2
7,21
11,2
21,21
21,21
20,20
2,2
21,21
10,21
20,20
2,2
20,20
2,2
16,2
11,2
6,8
21,21
2,2
13,19
6,8
19,19
4,8
21,21
19,19
20,20
21,21
21,21
6,8
6,8
1,21
11,2
8,8
6,8
21,21
11,2
21,21
21,21
19,19
20,20
20,20
10,21
13,19
7,21
20,20
21,21
2,2
19,19
8,8
21,21
2,2
20,20
16,2
20,20
8,8
2,2
19,19
8,8
21,21
2,2
20,20
2,2
8,8
20,20
20,20
3,8
2,2
20,20
20,20
19,19
19,19
8,8
19,19
19,19
19,19
14,20
2,2
14,20
10,21
20,20
8,8
8,8
8,8
20,20
2,2
20,20
2,2
20,20
2,2
13,19
2,2
21,21
2,2
14,20
19,19
2,2
7,21
6,8
20,20
4,8
8,8
14,20
2,2
20,20
14,20
20,20
20,20
2,2
9,21
21,21
20,20
20,20
2,2
20,20
2,2
21,21
20,20
11,2
2,2
5,2
8,8
8,8
6,8
21,21
21,21
11,2
20,20
8,8
21,21
20,20
8,8
19,19
11,2
14,20
4,8
21,21
19,19
4,8
1,21
20,20
2,2
19,19
19,19
2,2
19,19
21,21
20,20
8,8
6,8
2,2
10,21
2,2
20,20
14,20
20,20
21,21
20,20
20,20
9,21
14,20
11,2
20,20
2,2
2,2
6,8
2,2
4,8
19,19
4,8
20,20
2,2
21,21
16,2
2,2
4,8
2,2
2,2
9,21
20,20
21,21
14,20
2,2
4,8
11,2
14,20
21,21
21,21
19,19
19,19
21,21
2,2
19,19
8,8
19,19
20,20
19,19
21,21
12,2
2,2
2,2
11,2
11,2
13,19
19,19
16,2
11,2
2,2
19,19
20,20
21,21
19,19
9,21
2,2
20,20
4,8
2,2
11,2
2,2
4,8
11,2
2,2
19,19
8,8
2,2
21,21
11,2
20,20
2,2
20,20
21,21
2,2
20,20
2,2
2,2
2,2
20,20
20,20
21,21
2,2
2,2
1,19
20,20
19,19
2,2
2,2
6,8
10,21
11,2
20,20
5,2
6,8
11,2
19,19
14,20
2,2
9,21
21,21
11,2
20,20
19,19
21,21
20,20
20,20
19,19
20,20
19,19
9,21
20,20
19,19
20,20
21,21
21,21
21,21
19,19
21,21
20,20
2,2
13,19
13,19
2,2
16,2
21,21
9,21
21,21
21,21
9,21
16,2
4,8
20,20
2,2
21,21
11,2
2,2
2,2
21,21
11,2
19,19
9,21
20,20
8,8
20,20
2,2
8,8
14,20
4,8
21,21
2,2
10,21
14,20
21,21
2,2
2,2
11,2
2,2
2,2
2,2
1,19
9,21
21,21
21,21
2,2
2,2
19,19
19,19
2,2
19,19
21,21
2,2
2,2
2,2
21,21
21,21
21,21
19,19
21,21
11,2
3,8
19,19
11,2
20,20
21,21
14,20
21,21
19,19
13,19
21,21
10,21
21,21
11,2
2,2
18,18
7,21
21,21
2,2
20,20
14,20
20,20
8,8
8,8
9,21
14,20
20,20
20,20
21,21
20,20
20,20
20,20
20,20
21,21
2,2
8,8
8,8
8,8
20,20
9,21
8,8
8,8
11,2
20,20
20,20
20,20
20,20
20,20
8,8
20,20
20,20
14,20
21,21
21,21
8,8
20,20
2,2
19,19
20,20
20,20
19,19
20,20
8,8
8,8
2,2
8,8
20,20
11,2
7,21
8,8
8,8
8,8
8,8
11,2
21,21
2,2
6,8
8,8
8,8
11,2
4,8
2,2
8,8
8,8
21,21
10,21
2,2
8,8
8,8
8,8
4,8
20,20
2,2
2,2
3,8
16,2
11,2
20,20
16,2
14,20
8,8
2,2
8,8
6,8
14,20
10,21
21,21
20,20
8,8
2,2
8,8
9,21
8,8
8,8
8,8
21,21
8,8
20,20
8,8
8,8
8,8
8,8
2,2
9,21
3,8
8,8
8,8
20,20
20,20
21,21
10,21
20,20
20,20
8,8
8,8
8,8
10,21
2,2
20,20
20,20
14,20
4,8
8,8
2,2
20,20
21,21
17,8
8,8
2,2
8,8
8,8
20,20
2,2
3,8
8,8
11,2
2,2
20,20
21,21
8,8
8,8
8,8
20,20
8,8
2,2
8,8
20,20
20,20
2,2
20,20
21,21
8,8
8,8
2,2
11,2
8,8
21,21
20,20
20,20
20,20
20,20
20,20
20,20
6,8
8,8
3,8
20,20
2,2
8,8
21,21
21,21
10,21
10,21
20,20
8,8
8,8
8,8
2,2
20,20
20,20
21,21
11,2
11,2
11,2
21,21
20,20
20,20
1,21
2,2
6,8
2,2
8,8
19,19
19,19
10,21
2,2
20,20
2,2
21,21
8,8
20,20
20,20
20,20
8,8
2,2
8,8
8,8
21,21
8,8
16,2
21,21
2,2
8,8
8,8
20,20
11,2
20,20
19,19
2,2
11,2
9,21
19,19
21,21
20,20
19,19
4,8
7,21
21,21
19,19
13,19
16,2
19,19
19,19
20,20
19,19
21,21
2,2
4,8
4,8
13,19
20,20
20,20
20,20
19,19
11,2
21,21
9,21
8,8
8,8
8,8
19,19
11,2
20,20
10,21
9,21
4,8
2,2
4,8
19,19
20,20
20,20
3,8
20,20
2,2
20,20
11,2
11,2
8,8
20,20
6,8
20,20
21,21
2,2
21,21
13,19
2,2
2,2
8,8
8,8
16,2
4,8
11,2
21,21
21,21
20,20
21,21
2,2
20,20
19,19
19,19
2,2
10,21
10,21
11,2
21,21
19,19
19,19
19,19
19,19
1,19
2,2
20,20
2,2
2,2
11,2
13,19
11,2
2,2
2,2
7,21
21,21
14,20
19,19
20,20
14,20
1,19
4,8
20,20
2,2
2,2
8,8
20,20
8,8
21,21
1,19
20,20
19,19
7,21
10,21
10,21
2,2
20,20
2,2
20,20
8,8
11,2
11,2
11,2
11,2
11,2
4,8
7,21
4,8
19,19
4,8
2,2
5,2
16,2
13,19
19,19
11,2
19,19
21,21
13,19
20,20
11,2
20,20
13,19
19,19
20,20
2,2
13,19
21,21
21,21
8,8
21,21
10,21
21,21
21,21
21,21
20,20
19,19
19,19
21,21
21,21
8,8
2,2
2,2
19,19
21,21
16,2
11,2
19,19
11,2
14,20
21,21
21,21
20,20
20,20
8,8
2,2
20,20
8,8
20,20
21,21
21,21
21,21
8,8
8,8
21,21
8,8
8,8
6,8
8,8
19,19
2,2
20,20
8,8
20,20
16,2
21,21
2,2
9,21
8,8
8,8
2,2
2,2
1,21
20,20
2,2
20,20
20,20
21,21
20,20
11,2
8,8
2,2
8,8
20,20
8,8
8,8
8,8
21,21
20,20
2,2
16,2
21,21
8,8
20,20
8,8
20,20
8,8
8,8
8,8
8,8
2,2
8,8
2,2
20,20
8,8
6,8
2,2
16,2
20,20
20,20
13,19
2,2
3,8
20,20
21,21
20,20
8,8
21,21
11,2
8,8
11,2
11,2
2,2
8,8
20,20
2,2
8,8
21,21
2,2
20,20
20,20
8,8
21,21
21,21
8,8
2,2
4,8
20,20
11,2
6,8
20,20
20,20
8,8
20,20
19,19
20,20
19,19
21,21
4,8
8,8
20,20
19,19
20,20
21,21
2,2
21,21
11,2
21,21
20,20
20,20
20,20
20,20
2,2
8,8
2,2
8,8
8,8
20,20
8,8
8,8
11,2
6,8
2,2
8,8
8,8
20,20
8,8
8,8
20,20
8,8
20,20
21,21
2,2
20,20
2,2
8,8
21,21
12,2
21,21
9,21
21,21
20,20
20,20
8,8
20,20
8,8
11,2
21,21
9,21
20,20
11,2
8,8
8,8
20,20
11,2
20,20
14,20
14,20
21,21
13,19
11,2
20,20
11,2
8,8
14,20
8,8
8,8
21,21
20,20
20,20
16,2
8,8
19,19
16,2
8,8
20,20
8,8
3,8
3,8
2,2
13,19
6,8
20,20
2,2
2,2
20,20
19,19
20,20
3,8
2,2
8,8
11,2
11,2
11,2
20,20
8,8
20,20
8,8
20,20
21,21
8,8
8,8
21,21
8,8
6,8
3,8
20,20
21,21
20,20
11,2
8,8
21,21
21,21
8,8
20,20
8,8
20,20
20,20
8,8
8,8
21,21
21,21
2,2
8,8
21,21
8,8
8,8
8,8
20,20
11,2
21,21
3,8
21,21
8,8
8,8
6,8
8,8
8,8
8,8
11,2
20,20
8,8
8,8
8,8
8,8
13,19
8,8
13,19
20,20
20,20
2,2
20,20
21,21
21,21
20,20
2,2
8,8
20,20
2,2
2,2
2,2
3,8
20,20
20,20
14,20
13,19
8,8
5,2
11,2
20,20
21,21
8,8
2,2
21,21
4,8
8,8
11,2
6,8
21,21
21,21
20,20
8,8
2,2
2,2
21,21
9,21
20,20
8,8
8,8
8,8
6,8
20,20
8,8
2,2
21,21
20,20
11,2
3,8
3,8
11,2
6,8
20,20
20,20
16,2
14,20
6,8
8,8
21,21
11,2
8,8
8,8
8,8
21,21
14,20
13,19
8,8
9,21
20,20
20,20
2,2
8,8
8,8
8,8
8,8
8,8
2,2
8,8
21,21
8,8
8,8
8,8
20,20
21,21
5,2
1,21
21,21
9,21
2,2
8,8
8,8
20,20
20,20
11,2
8,8
20,20
8,8
20,20
20,20
21,21
6,8
19,19
19,19
20,20
8,8
16,2
14,20
8,8
8,8
3,8
20,20
3,8
3,8
8,8
2,2
19,19
21,21
8,8
20,20
20,20
20,20
11,2
8,8
8,8
8,8
20,20
13,19
20,20
6,8
8,8
8,8
20,20
19,19
6,8
19,19
8,8
6,8
21,21
8,8
3,8
21,21
20,20
8,8
3,8
11,2
3,8
20,20
20,20
20,20
20,20
8,8
20,20
8,8
6,8
14,20
8,8
8,8
21,21
8,8
8,8
20,20
20,20
20,20
20,20
8,8
20,20
20,20
20,20
4,8
20,20
4,8
20,20
21,21
8,8
11,2
8,8
21,21
11,2
20,20
8,8
8,8
4,8
6,8
19,19
9,21
21,21
8,8
11,2
14,20
20,20
9,21
8,8
20,20
19,19
21,21
21,21
8,8
11,2
14,20
3,8
14,20
1,21
2,2
21,21
13,19
19,19
20,20
11,2
21,21
8,8
2,2
2,2
9,21
2,2
2,2
2,2
2,2
21,21
20,20
4,8
8,8
3,8
20,20
8,8
20,20
3,8
2,2
2,2
21,21
8,8
2,2
21,21
19,19
8,8
8,8
10,21
21,21
2,2
2,2
8,8
1,21
20,20
21,21
20,20
8,8
8,8
2,2
8,8
2,2
3,8
20,20
20,20
21,21
2,2
8,8
21,21
19,19
11,2
20,20
20,20
8,8
8,8
8,8
3,8
8,8
20,20
21,21
8,8
20,20
21,21
21,21
9,21
8,8
6,8
8,8
8,8
8,8
20,20
20,20
8,8
20,20
2,2
8,8
21,21
21,21
8,8
20,20
8,8
8,8
8,8
20,20
20,20
8,8
2,2
20,20
20,20
8,8
8,8
6,8
11,2
13,19
20,20
2,2
19,19
20,20
6,8
1,21
21,21
20,20
21,21
11,2
3,8
20,20
8,8
11,2
2,2
8,8
4,8
2,2
20,20
20,20
19,19
8,8
20,20
2,2
8,8
19,19
8,8
8,8
20,20
20,20
20,20
2,2
2,2
9,21
8,8
8,8
3,8
20,20
1,21
8,8
20,20
8,8
9,21
21,21
19,19
21,21
8,8
21,21
6,8
8,8
21,21
8,8
19,19
21,21
8,8
20,20
6,8
21,21
6,8
4,8
20,20
20,20
21,21
8,8
8,8
8,8
21,21
13,19
2,2
9,21
20,20
2,2
8,8
8,8
20,20
8,8
20,20
6,8
1,21
11,2
2,2
8,8
16,2
8,8
8,8
20,20
7,21
2,2
20,20
8,8
1,21
8,8
8,8
20,20
20,20
8,8
8,8
21,21
20,20
2,2
20,20
8,8
21,21
21,21
8,8
20,20
20,20
20,20
11,2
6,8
6,8
21,21
8,8
6,8
8,8
8,8
20,20
14,20
2,2
20,20
20,20
9,21
6,8
6,8
11,2
8,8
8,8
6,8
8,8
8,8
11,2
2,2
11,2
20,20
14,20
8,8
20,20
21,21
21,21
8,8
14,20
2,2
20,20
11,2
21,21
20,20
8,8
8,8
21,21
19,19
4,8
4,8
21,21
10,21
17,8
3,8
8,8
14,20
19,19
20,20
11,2
11,2
21,21
19,19
1,21
19,19
3,8
6,8
8,8
20,20
8,8
4,8
2,2
8,8
8,8
19,19
16,2
8,8
8,8
2,2
19,19
8,8
8,8
21,21
2,2
8,8
2,2
8,8
8,8
21,21
20,20
21,21
20,20
20,20
21,21
2,2
11,2
10,21
8,8
8,8
21,21
19,19
19,19
4,8
14,20
8,8
6,8
8,8
2,2
3,8
8,8
20,20
14,20
11,2
8,8
4,8
8,8
9,21
8,8
13,19
1,21
1,21
19,19
21,21
21,21
7,21
14,20
20,20
20,20
21,21
4,8
21,21
14,20
6,8
8,8
20,20
13,19
4,8
4,8
8,8
8,8
8,8
2,2
8,8
20,20
20,20
2,2
21,21
20,20
21,21
11,2
21,21
8,8
8,8
8,8
21,21
8,8
11,2
4,8
21,21
16,2
21,21
20,20
4,8
2,2
21,21
8,8
2,2
20,20
21,21
21,21
21,21
21,21
16,2
21,21
11,2
4,8
21,21
8,8
2,2
8,8
8,8
2,2
20,20
8,8
2,2
2,2
13,19
8,8
17,8
20,20
8,8
13,19
8,8
8,8
21,21
3,8
8,8
8,8
9,21
14,20
20,20
8,8
14,20
8,8
21,21
4,8
21,21
1,21
20,20
14,20
6,8
20,20
10,21
21,21
4,8
21,21
2,2
19,19
14,20
9,21
13,19
11,2
8,8
20,20
13,19
13,19
20,20
8,8
8,8
8,8
2,2
20,20
20,20
8,8
20,20
8,8
13,19
21,21
20,20
21,21
8,8
2,2
11,2
21,21
14,20
20,20
21,21
19,19
4,8
20,20
20,20
21,21
21,21
13,19
8,8
2,2
8,8
8,8
20,20
20,20
20,20
16,2
8,8
8,8
6,8
8,8
2,2
11,2
2,2
21,21
10,21
21,21
9,21
2,2
6,8
2,2
21,21
8,8
10,21
21,21
21,21
13,19
21,21
16,2
8,8
14,20
21,21
7,21
20,20
19,19
4,8
20,20
20,20
10,21
20,20
2,2
20,20
20,20
21,21
8,8
8,8
21,21
21,21
11,2
4,8
20,20
8,8
8,8
3,8
21,21
20,20
21,21
8,8
20,20
8,8
14,20
20,20
8,8
20,20
20,20
20,20
10,21
21,21
3,8
8,8
2,2
2,2
8,8
2,2
3,8
2,2
21,21
16,2
6,8
21,21
8,8
20,20
20,20
3,8
8,8
8,8
8,8
2,2
21,21
21,21
21,21
14,20
11,2
20,20
2,2
20,20
21,21
8,8
8,8
21,21
20,20
2,2
8,8
2,2
8,8
8,8
8,8
20,20
8,8
6,8
2,2
8,8
21,21
4,8
21,21
8,8
21,21
8,8
13,19
9,21
2,2
20,20
11,2
14,20
20,20
2,2
21,21
8,8
2,2
21,21
21,21
20,20
21,21
21,21
20,20
2,2
13,19
20,20
6,8
20,20
20,20
8,8
21,21
21,21
2,2
14,20
4,8
14,20
10,21
9,21
11,2
19,19
8,8
13,19
11,2
11,2
17,8
3,8
19,19
20,20
2,2
20,20
8,8
21,21
8,8
8,8
8,8
8,8
11,2
20,20
8,8
8,8
6,8
21,21
21,21
1,21
4,8
20,20
20,20
20,20
21,21
2,2
2,2
13,19
9,21
21,21
21,21
21,21
13,19
20,20
20,20
8,8
8,8
16,2
1,21
20,20
20,20
20,20
8,8
13,19
8,8
20,20
14,20
21,21
20,20
14,20
11,2
8,8
20,20
20,20
3,8
11,2
20,20
21,21
20,20
21,21
19,19
21,21
13,19
8,8
20,20
20,20
8,8
21,21
13,19
13,19
3,8
20,20
8,8
8,8
20,20
20,20
11,2
21,21
2,2
8,8
20,20
9,21
21,21
20,20
8,8
21,21
14,20
20,20
21,21
20,20
2,2
20,20
2,2
11,2
2,2
20,20
13,19
8,8
21,21
2,2
20,20
9,21
21,21
4,8
13,19
13,19
8,8
8,8
21,21
19,19
19,19
4,8
8,8
14,20
8,8
10,21
14,20
13,19
2,2
8,8
8,8
14,20
8,8
8,8
14,20
11,2
4,8
21,21
14,20
13,19
14,20
2,2
4,8
2,2
21,21
8,8
11,2
2,2
21,21
21,21
10,21
2,2
8,8
6,8
8,8
20,20
20,20
21,21
13,19
20,20
4,8
2,2
8,8
21,21
20,20
21,21
3,8
6,8
21,21
13,19
20,20
8,8
8,8
20,20
8,8
4,8
14,20
8,8
4,8
8,8
11,2
2,2
20,20
8,8
21,21
1,21
8,8
4,8
20,20
2,2
8,8
4,8
8,8
21,21
21,21
14,20
8,8
8,8
13,19
6,8
6,8
4,8
2,2
2,2
6,8
13,19
21,21
9,21
8,8
2,2
8,8
8,8
6,8
2,2
6,8
20,20
14,20
12,2
19,19
14,20
20,20
20,20
21,21
6,8
19,19
3,8
10,21
20,20
6,8
8,8
8,8
8,8
10,21
20,20
20,20
2,2
20,20
19,19
20,20
21,21
19,19
21,21
21,21
9,21
9,21
7,21
21,21
21,21
21,21
9,21
8,8
2,2
9,21
20,20
3,8
20,20
20,20
21,21
20,20
21,21
11,2
13,19
19,19
8,8
8,8
21,21
11,2
20,20
20,20
13,19
8,8
14,20
8,8
8,8
1,21
21,21
20,20
8,8
13,19
20,20
9,21
2,2
21,21
21,21
13,19
20,20
8,8
20,20
21,21
11,2
8,8
20,20
11,2
11,2
14,20
20,20
4,8
2,2
21,21
20,20
20,20
10,21
8,8
20,20
2,2
20,20
20,20
21,21
21,21
8,8
21,21
20,20
8,8
11,2
21,21
20,20
9,21
9,21
21,21
8,8
7,21
21,21
11,2
8,8
20,20
21,21
20,20
2,2
20,20
20,20
9,21
20,20
11,2
4,8
20,20
20,20
2,2
21,21
2,2
8,8
8,8
21,21
2,2
2,2
8,8
8,8
21,21
2,2
8,8
8,8
20,20
21,21
13,19
11,2
8,8
2,2
20,20
8,8
8,8
8,8
6,8
21,21
8,8
2,2
2,2
3,8
21,21
6,8
8,8
9,21
20,20
10,21
20,20
20,20
1,21
8,8
16,2
8,8
4,8
20,20
10,21
20,20
8,8
2,2
11,2
19,19
20,20
21,21
19,19
9,21
2,2
8,8
20,20
8,8
21,21
13,19
21,21
11,2
2,2
2,2
8,8
6,8
8,8
11,2
21,21
20,20
21,21
4,8
9,21
8,8
21,21
21,21
21,21
4,8
11,2
4,8
21,21
7,21
2,2
20,20
8,8
2,2
4,8
4,8
20,20
21,21
8,8
20,20
20,20
8,8
20,20
2,2
20,20
21,21
19,19
20,20
8,8
20,20
16,2
6,8
4,8
6,8
2,2
8,8
8,8
2,2
20,20
8,8
8,8
8,8
6,8
7,21
11,2
9,21
8,8
20,20
2,2
9,21
8,8
11,2
8,8
8,8
6,8
6,8
11,2
20,20
20,20
21,21
2,2
20,20
8,8
20,20
10,21
20,20
20,20
11,2
11,2
20,20
8,8
20,20
8,8
8,8
9,21
8,8
8,8
3,8
8,8
3,8
8,8
20,20
11,2
11,2
20,20
11,2
11,2
8,8
11,2
20,20
20,20
8,8
8,8
11,2
20,20
11,2
8,8
21,21
6,8
3,8
20,20
8,8
21,21
20,20
20,20
8,8
16,2
11,2
4,8
3,8
3,8
21,21
16,2
13,19
20,20
13,19
13,19
8,8
20,20
13,19
14,20
20,20
20,20
20,20
20,20
13,19
20,20
3,8
3,8
20,20
2,2
20,20
20,20
20,20
11,2
8,8
20,20
8,8
14,20
19,19
20,20
2,2
8,8
19,19
20,20
4,8
4,8
20,20
11,2
20,20
20,20
20,20
8,8
3,8
8,8
8,8
20,20
20,20
21,21
20,20
8,8
8,8
11,2
6,8
8,8
2,2
19,19
20,20
16,2
8,8
8,8
8,8
21,21
4,8
20,20
8,8
8,8
8,8
11,2
20,20
21,21
20,20
13,19
20,20
8,8
11,2
8,8
21,21
20,20
20,20
8,8
16,2
8,8
16,2
19,19
21,21
20,20
8,8
20,20
2,2
20,20
21,21
8,8
20,20
21,21
21,21
11,2
8,8
4,8
8,8
16,2
20,20
8,8
20,20
8,8
21,21
20,20
13,19
8,8
21,21
20,20
9,21
8,8
13,19
13,19
19,19
9,21
20,20
8,8
6,8
6,8
2,2
11,2
14,20
14,20
14,20
6,8
8,8
21,21
13,19
8,8
8,8
2,2
16,2
8,8
8,8
8,8
8,8
8,8
13,19
20,20
20,20
2,2
20,20
20,20
6,8
13,19
8,8
7,21
19,19
21,21
20,20
11,2
2,2
20,20
21,21
2,2
2,2
20,20
20,20
19,19
21,21
8,8
8,8
11,2
19,19
20,20
20,20
13,19
8,8
2,2
2,2
2,2
21,21
2,2
2,2
14,20
2,2
2,2
4,8
8,8
8,8
21,21
21,21
2,2
8,8
2,2
21,21
11,2
2,2
20,20
14,20
21,21
21,21
8,8
20,20
8,8
9,21
11,2
11,2
8,8
21,21
1,19
20,20
20,20
8,8
20,20
2,2
8,8
13,19
8,8
21,21
21,21
21,21
4,8
8,8
21,21
8,8
20,20
20,20
20,20
10,21
21,21
20,20
13,19
2,2
6,8
21,21
21,21
2,2
16,2
2,2
14,20
6,8
4,8
19,19
14,20
21,21
21,21
10,21
20,20
9,21
8,8
8,8
21,21
8,8
19,19
21,21
21,21
21,21
14,20
20,20
20,20
8,8
20,20
20,20
2,2
8,8
2,2
11,2
21,21
9,21
14,20
20,20
19,19
8,8
20,20
2,2
4,8
21,21
20,20
20,20
20,20
20,20
9,21
20,20
20,20
8,8
6,8
8,8
8,8
2,2
8,8
2,2
8,8
20,20
8,8
21,21
21,21
4,8
20,20
4,8
21,21
8,8
6,8
21,21
11,2
3,8
21,21
20,20
8,8
11,2
19,19
8,8
14,20
8,8
3,8
20,20
21,21
21,21
8,8
19,19
21,21
20,20
8,8
9,21
20,20
2,2
21,21
8,8
20,20
8,8
13,19
8,8
9,21
8,8
8,8
